ticker,tr_base,tr_v2,wr_base,wr_v2,ret_base,ret_v2,dd_base,dd_v2,pf_base,pf_v2,ret_delta
ES=F,27,9,0.25925925925925924,0.5555555555555556,-4.344732231404302,-0.37488481532933493,-5.018475962898767,-1.4145926053290294,0.5449653001566677,0.8230125969704807,3.9698474160749675
NQ=F,19,9,0.3684210526315789,0.7777777777777778,-0.2332865970203768,2.314069925305451,-3.9127005020219583,-0.5366752088475724,0.9544025610440038,3.1587850715066565,2.5473565223258277
YM=F,22,10,0.22727272727272727,0.4,-3.169495420792734,-0.29199187536355087,-3.5364564047963865,-2.154502602317994,0.5158406221806326,0.8924973462068907,2.877503545429183
^GSPC,0,2,,0.0,0.0,-1.1026735768835505,0.0,-1.1026735768835532,,0.0,-1.1026735768835505
^NDX,0,2,,1.0,0.0,0.7378904431439626,0.0,0.0,,,0.7378904431439626
^DJI,0,1,,1.0,0.0,0.07166524027106824,0.0,-0.0018424387034997236,,,0.07166524027106824
GC=F,14,12,0.2857142857142857,0.5833333333333334,-1.6452536143264695,1.028063565080739,-1.864622276615737,-2.080676760354918,0.6409429564630519,1.3858296796511342,2.6733171794072086
SI=F,14,9,0.42857142857142855,0.3333333333333333,2.7229168947096927,-0.8432144845361811,-1.0269975696263742,-1.5549124360368978,1.8964782519502887,0.7291969853574789,-3.5661313792458738
HG=F,9,5,0.0,0.4,-4.250626345072539,-0.42187834806328706,-4.250626345072542,-1.3441878229941358,0.0,0.7350068459304931,3.828747997009252
CL=F,13,8,0.3076923076923077,0.625,-0.48949904734462146,0.46490933722922456,-2.808143681083612,-0.5194424587145161,0.8784187121607762,1.2998190851271163,0.954408384573846
NG=F,21,10,0.2857142857142857,0.5,-3.027766058646486,1.205344422875787,-5.532822556975148,-1.2426768042017926,0.5406390181931167,1.465301687010446,4.233110481522273
RB=F,15,6,0.4,0.5,1.0259751196515232,-0.544691918716711,-1.584130854272521,-1.4494817496216073,1.2675959483059696,0.652173393080193,-1.5706670383682342
CC=F,6,3,0.0,0.6666666666666666,-1.948172380977553,-0.24127463032942442,-2.1524361383679986,-0.5076416859585708,0.0,0.5259837667162595,1.7068977506481287
BTC-USD,13,15,0.5384615384615384,0.5333333333333333,1.9914140700106886,-0.10694808301529024,-1.5478359227906187,-1.7186792667304325,1.6407508904613708,0.970465229554901,-2.098362153025979
SOL-USD,24,12,0.25,0.5833333333333334,-3.268148147722605,0.9208752164833189,-4.052978301598796,-1.0336555199980972,0.5857956383329801,1.3555011862208701,4.189023364205924
