trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker
12,0.6666666666666666,0.2502314735657205,1.5013888413943022,-1.9719880183438132,1.6815181326038044,10150.138884139431,ES=F
7,0.7142857142857143,0.11798430309507456,0.41294506083275895,-1.0424460549238053,1.391310313298183,10041.294506083275,NQ=F
5,0.6,0.6979889765484042,1.7449724413710177,-0.5502622644554686,4.0570294528858035,10174.497244137103,YM=F
4,0.75,0.7511662333262334,1.502332466652434,-0.5721828841719264,3.597727305152632,10150.233246665244,^GSPC
1,1.0,1.8181363248124702,0.9090681624062347,0.0,,10090.906816240624,^NDX
2,1.0,1.0357849670755515,1.035784967075526,0.0,,10103.578496707552,^DJI
6,0.3333333333333333,-0.3634572715041927,-1.0903718145125807,-1.3035438578646883,0.47668009206417267,9890.962818548742,GC=F
8,0.5,0.2647829705861014,1.0591318823444107,-1.0465833679660217,1.5046764323475827,10105.91318823444,SI=F
6,0.8333333333333334,0.6363555594730544,1.9090666784191468,-0.5282208255554114,4.605113404061046,10190.906667841915,HG=F
10,0.6,0.06812369486621837,0.34061847433106696,-1.0319359702060138,1.1650524571960068,10034.061847433108,CL=F
3,0.0,-1.0130905633555052,-1.5196358450332625,-1.5196358450332628,0.0,9848.036415496674,NG=F
5,0.8,-0.05738273033983861,-0.14345682584958608,-0.5184418106639002,0.723870871832726,9985.654317415041,RB=F
5,0.8,0.42712986434429,1.0678246608607056,-0.5106241798899254,3.070560753926352,10106.782466086072,CC=F
9,0.5555555555555556,-0.018645503942316267,-0.08390476774047251,-1.4982492521922957,0.959956764372896,9991.609523225952,BTC-USD
10,0.2,-0.5611985706855912,-2.805992853427941,-3.8559393810495384,0.30468941412254824,9719.400714657206,SOL-USD
