ticker,train_start,train_end,test_end,zone_pct,rr_tp2,climax_mx,is_trades,is_win_rate,is_return_pct,trades,win_rate,total_return_pct,max_dd_pct,profit_factor
NG=F,2024-11-20,2025-07-18,2025-11-15,0.2,3.0,1.5,7,0.7142857142857143,0.3836931744477301,3,0.6666666666666666,1.739021119562345,-0.5129910497677839,4.354154379737803
NG=F,2025-01-19,2025-09-16,2026-01-14,0.2,3.0,1.5,8,0.625,0.7230494475725546,2,0.0,-1.0139623942155285,-1.0139623942155231,0.0
NG=F,2025-03-20,2025-11-15,2026-03-15,0.2,3.0,1.5,8,0.75,2.4311547416469903,3,0.0,-1.5196358450332625,-1.5196358450332628,0.0
NG=F,2025-05-19,2026-01-14,2026-05-14,0.2,3.0,1.5,6,0.5,1.7267150864988645,0,,0.0,0.0,
RB=F,2024-01-25,2024-09-21,2025-01-19,0.1,3.0,1.75,3,0.6666666666666666,2.046125426050871,1,0.0,-0.5126088268369355,-0.5126088268369313,0.0
RB=F,2024-03-25,2024-11-20,2025-03-20,0.1,3.0,1.75,4,0.5,1.39645364517067,2,0.5,-0.49641358667162905,-0.5267485929019676,0.05758915474878613
RB=F,2024-05-24,2025-01-19,2025-05-19,0.2,3.0,1.75,4,0.75,1.9328959323619,4,0.75,0.8030491386458172,-0.5317610558322177,2.4923942193589235
RB=F,2024-07-23,2025-03-20,2025-07-18,0.2,3.0,1.5,5,0.8,1.9331843381235059,2,1.0,0.14913572645989248,0.0,
RB=F,2024-09-21,2025-05-19,2025-09-16,0.1,1.5,1.5,3,0.3333333333333333,-0.9872586874279166,2,1.0,0.10119878203032062,-0.005598306656919212,
RB=F,2024-11-20,2025-07-18,2025-11-15,0.2,1.5,1.5,3,0.6666666666666666,-0.4737344776039931,2,1.0,0.10119878203032062,-0.005598306656919212,
RB=F,2025-01-19,2025-09-16,2026-01-14,0.1,3.0,1.5,6,0.8333333333333334,0.9050605966235414,1,0.0,-0.5184418106638944,-0.5184418106638986,0.0
RB=F,2025-03-20,2025-11-15,2026-03-15,0.2,1.5,1.75,6,1.0,0.4696466513241182,1,0.0,-0.5184418106638944,-0.5184418106638986,0.0
RB=F,2025-05-19,2026-01-14,2026-05-14,0.1,1.5,1.75,4,0.75,-0.3100091898306512,0,,0.0,0.0,
GBPUSD=X,2023-09-03,2024-04-30,2024-08-28,0.15,3.0,1.75,6,0.5,-0.13319121777911613,1,0.0,-0.6164583027701842,-0.6164583027701883,0.0
GBPUSD=X,2023-11-02,2024-06-29,2024-10-27,0.1,1.5,1.5,3,0.6666666666666666,-0.37727149603877796,1,0.0,-0.6164583027701842,-0.6164583027701883,0.0
GBPUSD=X,2024-01-01,2024-08-28,2024-12-26,0.1,1.5,1.75,5,0.4,-1.3591082670644794,0,,0.0,0.0,
GBPUSD=X,2024-03-01,2024-10-27,2025-02-24,0.1,1.5,1.5,3,0.3333333333333333,-1.2706234910419112,3,0.6666666666666666,1.1595321210573273,-0.5319797486406206,3.143208120085358
GBPUSD=X,2024-04-30,2024-12-26,2025-04-25,0.1,1.5,1.5,3,0.0,-1.8127434969957168,1,0.0,-0.5319797486406208,-0.5319797486406241,0.0
GBPUSD=X,2024-06-29,2025-02-24,2025-06-24,0.1,3.0,1.5,6,0.3333333333333333,0.2143548606614143,0,,0.0,0.0,
GBPUSD=X,2024-08-28,2025-04-25,2025-08-23,0.1,3.0,1.5,3,0.6666666666666666,2.0645228615742806,2,0.5,0.8580079278739605,-0.5771678919756777,2.4865829159986053
GBPUSD=X,2024-10-27,2025-06-24,2025-10-22,0.15,3.0,2.0,5,0.6,2.150499581484411,1,0.0,-0.5728825727938647,-0.5728825727938601,0.0
GBPUSD=X,2024-12-26,2025-08-23,2025-12-21,0.2,3.0,2.0,5,0.6,1.8520923312297155,1,0.0,-0.611336018339026,-0.611336018339025,0.0
GBPUSD=X,2025-02-24,2025-10-22,2026-02-19,0.2,3.0,2.0,6,0.8333333333333334,3.5931371255574884,1,0.0,-0.5797084113786655,-0.5797084113786696,0.0
GBPUSD=X,2025-04-25,2025-12-21,2026-04-20,0.2,3.0,1.5,4,0.75,1.8141011315483624,3,0.3333333333333333,-1.141743597121514,-1.1417435971215129,0.03547043802834942
BTC-USD,2024-06-17,2025-02-12,2025-06-12,0.2,2.0,1.5,10,0.5,-0.7140728043406708,6,0.6666666666666666,1.1284202101413454,-0.5110533564260276,2.10175842509393
BTC-USD,2024-08-16,2025-04-13,2025-08-11,0.15,2.0,1.5,6,0.5,0.27068788992754556,2,1.0,2.0483538827183123,0.0,
BTC-USD,2024-10-15,2025-06-12,2025-10-10,0.15,3.0,1.5,6,0.6666666666666666,1.6989875270670751,2,0.5,0.9353848760982331,-0.5152826486066022,2.7891953147158004
BTC-USD,2024-12-14,2025-08-11,2025-12-09,0.15,3.0,1.5,8,0.75,2.4539096009062122,3,0.6666666666666666,0.8339068936017879,-0.516619882558116,2.614159504416677
BTC-USD,2025-02-12,2025-10-10,2026-02-07,0.15,3.0,1.5,5,0.8,2.7275543172965877,2,1.0,1.1959851312304481,0.0,
BTC-USD,2025-04-13,2025-12-09,2026-04-08,0.15,3.0,1.5,4,0.75,2.294040862246449,1,0.0,-0.5189216258542961,-0.518921625854291,0.0
SOL-USD,2024-06-17,2025-02-12,2025-06-12,0.2,1.5,1.5,5,0.6,-0.7929329125647921,5,0.6,0.9699008267480602,-1.0238754817493827,1.947283965713223
SOL-USD,2024-08-16,2025-04-13,2025-08-11,0.2,1.5,1.5,8,0.5,-1.6366720481761021,8,0.5,1.585250479793321,-1.5226351743344346,1.7703101567090886
SOL-USD,2024-10-15,2025-06-12,2025-10-10,0.2,2.0,1.5,10,0.7,1.161662014902931,4,0.5,1.024157049674379,-0.5210390116430972,1.9811658139974282
SOL-USD,2024-12-14,2025-08-11,2025-12-09,0.15,2.0,1.5,16,0.5625,-0.07702279871840689,2,0.0,-1.0225437513153857,-1.0225437513153883,0.0
SOL-USD,2025-02-12,2025-10-10,2026-02-07,0.15,3.0,1.5,10,0.7,3.6982042307384555,3,0.3333333333333333,-0.8450417818187783,-0.8450417818187816,0.1768275088323239
SOL-USD,2025-04-13,2025-12-09,2026-04-08,0.15,2.0,1.5,11,0.45454545454545453,1.8087094496689327,4,0.0,-2.035305196966797,-2.0353051969668012,0.0
