ticker,windows,oos_trades,oos_win_rate,oos_compound_pct,oos_mean_pct,oos_median_pct,oos_worst_dd_pct,is_mean_pct
ES=F,9,22,0.5909090909090909,-0.22603388562206783,-0.020592994910203128,-0.4282238007850214,-1.0095788359457039,1.357637553371041
NQ=F,9,13,0.6923076923076923,0.2855429749170524,0.033060614358388425,0.0,-0.521206209472275,0.5990931700562049
YM=F,9,19,0.5263157894736842,1.431610434434094,0.16362277019949215,0.23087642541033127,-2.169773603093023,1.0928869440078204
^GSPC,6,2,0.0,-1.0552335825089632,-0.1763385937696519,0.0,-0.5367414514225128,0.1228510451726376
^NDX,10,11,0.6363636363636364,-0.15363838846014222,-0.01517039636307671,0.0,-0.5381277625423536,-0.13358600680688393
^DJI,7,8,0.625,-1.4793520169148033,-0.2119461381017675,0.0,-1.0356381911957397,0.5757532054542706
GC=F,8,18,0.7222222222222222,2.2235798450805033,0.2769088491118135,0.18199505536253824,-0.8290331749799771,1.5342875588310407
SI=F,9,20,0.4,-1.098226458276108,-0.11922763094889513,-0.17990786454769037,-1.0471953325995855,0.2291032785829773
HG=F,7,9,0.6666666666666666,1.0657725259831663,0.15293514013599335,0.0,-0.5289249165993715,0.35412130088522237
CL=F,7,14,0.6428571428571429,-0.5066702125701483,-0.0714032132406474,0.0,-0.6689077907463434,-0.9205990309831333
NG=F,9,27,0.6296296296296297,1.5216937154751253,0.17311858939322486,0.019308000672091374,-1.5196358450332628,1.5151593663919347
RB=F,9,15,0.6666666666666666,-0.8959582006139333,-0.09903595618555583,0.0,-0.5317610558322177,0.7680404705324495
GBPUSD=X,11,14,0.2857142857142857,-2.644769049214035,-0.24118426408025195,-0.5728825727938647,-1.1417435971215129,0.612342720285061
BTC-USD,6,16,0.6875,5.738472293171437,0.9371882279893051,1.0319025431197892,-0.518921625854291,1.4551845655172
SOL-USD,6,26,0.38461538461538464,-0.3750458246848609,-0.053930395647533436,0.06242952246464095,-2.0353051969668012,0.693657989308503
