ticker,tr_base,tr_v2,wr_base,wr_v2,ret_base,ret_v2,dd_base,dd_v2,pf_base,pf_v2,ret_delta
EURUSD=X,16,7,0.125,0.14285714285714285,-5.269274042662586,-2.787972656181592,-5.801400360300804,-2.787972656181591,0.1989613014838136,0.07967249294701097,2.4813013864809936
GBPUSD=X,20,9,0.15,0.6666666666666666,-7.514676840752532,1.6012925004880607,-8.618813471669727,-1.035475591603099,0.17698163797127872,1.9082676076888585,9.115969341240593
AUDUSD=X,14,9,0.2857142857142857,0.1111111111111111,-1.6655514848407993,-3.7527227827313103,-2.981418574285404,-3.9599748136400743,0.6702236026281092,0.05233670431308845,-2.087171297890511
USDJPY=X,15,8,0.4,0.125,0.5518079303687751,-1.781596322000567,-1.8532474071912033,-2.4600015785668803,1.1319721945837848,0.2757743175764678,-2.333404252369342
USDCAD=X,20,11,0.3,0.36363636363636365,-2.5905255087462553,-0.6092359787353452,-4.65404599049534,-3.0635844541503374,0.65087189921829,0.8366068003827228,1.9812895300109101
ES=F,27,9,0.25925925925925924,0.5555555555555556,-4.344732231404302,-0.37488481532933493,-5.018475962898767,-1.4145926053290294,0.5449653001566677,0.8230125969704807,3.9698474160749675
NQ=F,19,9,0.3684210526315789,0.7777777777777778,-0.2332865970203768,2.314069925305451,-3.9127005020219583,-0.5366752088475724,0.9544025610440038,3.1587850715066565,2.5473565223258277
YM=F,22,10,0.22727272727272727,0.4,-3.169495420792734,-0.29199187536355087,-3.5364564047963865,-2.154502602317994,0.5158406221806326,0.8924973462068907,2.877503545429183
RTY=F,14,14,0.42857142857142855,0.5,2.4035334731813185,-0.10594493114878256,-1.248506688202488,-1.469233977527815,1.9100869958430085,0.9717053514574282,-2.509478404330101
^GSPC,0,2,,0.0,0.0,-1.1026735768835505,0.0,-1.1026735768835532,,0.0,-1.1026735768835505
^NDX,0,2,,1.0,0.0,0.7378904431439626,0.0,0.0,,,0.7378904431439626
^DJI,0,1,,1.0,0.0,0.07166524027106824,0.0,-0.0018424387034997236,,,0.07166524027106824
^FTSE,2,2,0.0,1.0,-0.6677250684865244,0.2063257351334835,-0.6687285901160734,-0.0072228266027692485,0.0,,0.8740508036200079
^GDAXI,2,0,0.5,,0.5262526843445636,0.0,-0.33454336158796816,0.0,3.0976229137829505,,-0.5262526843445636
^N225,0,0,,,0.0,0.0,0.0,0.0,,,0.0
GC=F,14,12,0.2857142857142857,0.5833333333333334,-1.6452536143264695,1.028063565080739,-1.864622276615737,-2.080676760354918,0.6409429564630519,1.3858296796511342,2.6733171794072086
SI=F,14,9,0.42857142857142855,0.3333333333333333,2.7229168947096927,-0.8432144845361811,-1.0269975696263742,-1.5549124360368978,1.8964782519502887,0.7291969853574789,-3.5661313792458738
HG=F,9,5,0.0,0.4,-4.250626345072539,-0.42187834806328706,-4.250626345072542,-1.3441878229941358,0.0,0.7350068459304931,3.828747997009252
PL=F,6,9,0.3333333333333333,0.4444444444444444,-0.3715852832808175,-0.2242068273097919,-1.8476867145854472,-1.0546270275296676,0.8003752261749646,0.9143434280749181,0.1473784559710256
BTC-USD,13,15,0.5384615384615384,0.5333333333333333,1.9914140700106886,-0.10694808301529024,-1.5478359227906187,-1.7186792667304325,1.6407508904613708,0.970465229554901,-2.098362153025979
ETH-USD,23,13,0.34782608695652173,0.6923076923076923,2.8330742367484785,2.266776133674786,-1.040789056323849,-1.034362389479562,1.4698433249298926,2.083489162497523,-0.5662981030736924
