ticker,bars,start,end,trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity
EURUSD=X,17001,2023-09-03,2026-06-05,64,0.25,-0.37323002749107603,-11.943360879714326,-12.676118308698769,0.49611838671930425,8805.663912028567
GBPUSD=X,17003,2023-09-03,2026-06-05,71,0.2112676056338028,-0.4801931086803779,-17.04685535815336,-18.48045091847339,0.36211892505149057,8295.314464184665
AUDUSD=X,17101,2023-09-03,2026-06-05,44,0.29545454545454547,-0.2233975283575461,-4.9147456238660014,-6.979648379061758,0.70319107367914,9508.5254376134
USDJPY=X,16904,2023-09-03,2026-06-05,59,0.4067796610169492,-0.053130497674448794,-1.5673496813961574,-3.130776079047568,0.9174267069632596,9843.265031860385
USDCAD=X,17101,2023-09-03,2026-06-05,49,0.20408163265306123,-0.463502726182498,-11.355816791471208,-12.300248861392264,0.3958320581209031,8864.41832085288
GC=F,13539,2024-01-25,2026-06-05,36,0.25,-0.2856824752367614,-5.1422845542617335,-6.287944528253921,0.5745793099747655,9485.771544573827
SI=F,13536,2024-01-25,2026-06-05,42,0.35714285714285715,0.08986148416111833,1.8870911673835034,-3.8366599707221596,1.1726377861709065,10188.70911673835
HG=F,13533,2024-01-25,2026-06-05,45,0.2,-0.34735461416099384,-7.815478818622412,-8.68905991724936,0.49605092163981096,9218.452118137759
PL=F,13530,2024-01-25,2026-06-05,36,0.25,-0.30952788576393386,-5.571501943750845,-7.400591347278052,0.5319538818581597,9442.849805624915
BTC-USD,17242,2024-06-17,2026-06-06,66,0.42424242424242425,0.13024913070659289,4.298221313317563,-4.531703716370321,1.2621838514967239,10429.822131331755
ETH-USD,17239,2024-06-17,2026-06-06,60,0.3333333333333333,0.04888968247631749,1.4666904742894893,-2.3512618140378727,1.0877088492532696,10146.66904742895
