trades,win_rate,avg_R,total_return_pct,max_dd_pct,profit_factor,final_equity,ticker
11,0.7272727272727273,0.41710249395234994,2.294063716737882,-1.5998258821189246,2.379361794601647,10229.40637167379,ES=F
7,0.7142857142857143,0.03291334222510938,0.11519669778787822,-1.0424460549238137,1.109486039999818,10011.519669778787,NQ=F
7,0.8571428571428571,1.0210187168101206,3.573565508835408,-0.5502622644554686,7.494295065593392,10357.356550883542,YM=F
5,0.8,0.41971866701118044,1.0492966675279547,-0.5721828841719128,2.8197773977165013,10104.929666752796,^GSPC
1,1.0,1.2182563248124705,0.6091281624062361,0.0,,10060.912816240623,^NDX
2,1.0,0.735720448318652,0.7357204483186219,0.0,,10073.572044831863,^DJI
9,0.4444444444444444,-0.20308811659988601,-0.9138965246994646,-1.567020395548518,0.6518240272245284,9908.610347530053,GC=F
8,0.5,0.08436716812824749,0.33746867251298607,-1.0393588010710424,1.1621834537716733,10033.746867251299,SI=F
7,0.8571428571428571,0.738291344665397,2.584019706328866,-0.5282208255554114,5.879705976198896,10258.401970632887,HG=F
8,0.625,-0.08264308051692038,-0.3305723220676571,-0.668907790746311,0.786437240632844,9966.942767793234,CL=F
5,0.2,-0.5091268973607284,-1.2728172434018248,-2.024831298926956,0.37618404172684977,9872.718275659818,NG=F
5,0.8,-0.05738273033983861,-0.14345682584958608,-0.5184418106639002,0.723870871832726,9985.654317415041,RB=F
5,0.8,0.3070222827463774,0.7675557068659522,-0.5106241798899178,2.492760486501155,10076.755570686595,CC=F
9,0.5555555555555556,-0.018645503942316267,-0.08390476774047251,-1.4982492521922957,0.959956764372896,9991.609523225952,BTC-USD
10,0.2,-0.5090736616598319,-2.5453683082991674,-3.3111397562853564,0.3718495014238168,9745.463169170083,SOL-USD
